user_id,username,password,fullname,email,role
1,derrick,derrick,derrick ong,derrick@uogsit.com,admin
2,kevin,kevin,kevin pang,kevin@uogsit.com,lecturer
3,jason,jason,jason chai,jason@uogsit.com,student
4,ngaifong,ngaifong,ngai fong,ngaifong@uogsit.com,tutor
5,reuben,reuben,reuben pang,reuben@uogsit.com,admin
6,joe,joe,joe lum,joe@uogsit.com,lecturer
7,ian,ian,ian yeo,ian@uogsit.com,student
8,gene,gene,kia gene,gene@uogsit.com,tutor
9,yuanhui,yuanhui,teo yuanhui,yuanhui@uogsit.com,admin
10,wenbing,wenbing,chuan wenbing,wenbing@uogsit.com,lecturer
11,jiaxiong,jiaxiong,fan jiaxiong,jiaxiong@uogsit.com,student
12,yve,yve,yve chek,yve@uogsit.com,tutor
13,jasmine,jasmine,jasmine hu,jasmine@uogsit.com,admin
14,shiny,shiny,shiny,shiny@uogsit.com,lecturer
15,veronica,veronica,veronica yeo,veronica@uogsit.com,student
16,tutor1,tutor1,Ang Yi Han,yh@uogsit.com,tutor
17,tutor2,tutor2,"Au Wai Kin, Ken",ken@uogsit.com,tutor
18,tutor3,tutor3,Bang Er Quan,eq@uogsit.com,tutor
19,student4,student4,Chek Yi Kai,Chek Yi Kai@uogsit.com,student
20,student5,student5,Chen Shijie,Chen Shijie@uogsit.com,student
21,student6,student6,Chua Mao Jie,Chua Mao Jie@uogsit.com,student
22,student7,student7,Chua Qi Yang,Chua Qi Yang@uogsit.com,student
23,student8,student8,Chua Xiang Jie,Chua Xiang Jie@uogsit.com,student
24,student9,student9,Claris Kerlyn Ke Yue'E,Claris Kerlyn Ke Yue'E@uogsit.com,student
25,student10,student10,Diane Lim Ai Lin,Diane Lim Ai Lin@uogsit.com,student
26,student11,student11,Goh Bing Lu,Goh Bing Lu@uogsit.com,student
27,student12,student12,Huang Weijie Brendon,Huang Weijie Brendon@uogsit.com,student
28,student13,student13,Joselyn Lim Shi Ya,Joselyn Lim Shi Ya@uogsit.com,student
29,student14,student14,Khairunnisa Binte Abu Hassan,Khairunnisa Binte Abu Hassan@uogsit.com,student
30,student15,student15,Koh Jin Cai Daemian,Koh Jin Cai Daemian@uogsit.com,student
