1,derrick,derrick,derrick,derrick@st.com,admin
2,kevin,kevin,kevin,kevin@st.com,lecturer
3,jason,jason,jason,jason@st.com,lecturer
4,ngaifong,ngaifong,ngaifong,ngaifong@st.com,admin
5,reuben,reuben,reuben,reuben@st.com,student
6,joe,joe,joe,joe@st.com,admin
7,ian,ian,ian,ian@st.com,tutor
8,gene,gene,gene,gene@st.com,tutor
9,yuanhui,yuanhui,yuanhui,yuanhui@st.com,student
10,wenbing,wenbing,wenbing,wenbing@st.com,admin
11,jiaxiong,jiaxiong,jiaxiong,jiaxiong@st.com,lecturer
12,yve,yve,yve,yve@st.com,student
13,jasmine,jasmine,jasmine,jasmine@st.com,student
14,shiny,shiny,shiny,shiny@st.com,student
15,veronica,veronica,veronica,veronica@st.com,student
